track_name,artists,track_id
"Somebody To Love - Live At The Freddie Mercury Tribute Concert For AIDS Awareness, Wembley / 1992","['Queen', 'George Michael']",3g8OM1tEhwNQqsXDHhVbQQ
Bitter Sweet Symphony - Remastered 2016,['The Verve'],57iDDD9N9tTWe75x6qhStw
Kayleigh,['Marillion'],1Dsd1Nu06UbNmelEhPxKgB
Don't Stop The Dance,['Bryan Ferry'],2bTe1fvWK8mfjSP6NqXDzU
Skin,"[""Rag'n'Bone Man""]",6y2Kaz9QI01XBKJ8mTb7Pf
Mama - Remastered 2007,['Genesis'],4q6bSpQPptaC9uIqmu5GEw
So Long,['Fischer-Z'],3XAiXl3dKpG7b0qcrCtBD4
Run To You,['Bryan Adams'],2RWFncSWZEhSRRifqiDNVV
Sweet Freedom,['Michael McDonald'],4ZsYF5rjUXIwds6KNimPRo
Feel,['Robbie Williams'],2Ms33RTRCT6gArrpcrPxmo
Human - Edit,['The Human League'],7qm1JpihtROAIU1XpvqYHS
Home By The Sea - Remastered 2007,['Genesis'],0M4XhhlpLOuASct8J8MZe5
Hey Nineteen,['Steely Dan'],1tjK9HhmpEfk0ijyIKsoUk
Safe From Harm - 2012 Mix/Master,['Massive Attack'],1vNNfTgHsrpOXeiaXQBlH7
It's No Good,['Depeche Mode'],7HDWE2Ib7cjkhzULV4K8y3
Break The Man,['Tears For Fears'],6dBhx0H7GIxghDxBYkXt0l
You Got Me,['Gavin DeGraw'],1ic2NiS8e5ryLdMK8gkdfI
Waterfront - Remastered 2002,['Simple Minds'],3Mw3lZoplwJrVE5Qz7XRUx
Everybody Wants To Rule The World,['Tears For Fears'],4RvWPyQ5RL0ao9LPZeSouE
Alive And Kicking,['Simple Minds'],2x5IXUFOcvvBUtEpnCBNlp
Human,"[""Rag'n'Bone Man""]",58zsLZPvfflaiIbNWoA22O
Kashmir - 1990 Remaster,['Led Zeppelin'],2nVHqZbOGkKWzlcy1aMbE7
Impossible (Orchestral Version) [Live at Abbey Road],['Nothing But Thieves'],2KVMuEgVOyOkxxx0xEFNMS
Brass in Pocket,['Pretenders'],6YrHQ3Uv9YXK2gJNVTlT8P
A Forest,['The Cure'],4iVTSRiJAA18d3QglhyJ6Q
Living in Another World - 1997 Remaster,['Talk Talk'],03d3DCqwvt65Orfdomjs6e
Times Are Changing,['DI-RECT'],2ChLCoNCOIXSKEgrRueGsy
The Whole of the Moon,['The Waterboys'],11zWfCQaGkXJ9uIXROr4pa
Streets,['Kensington'],61ks9qYaFaMxUGpYsl1BCF
Someone Somewhere (In Summertime),['Simple Minds'],4GAODfoys7MDfMYXayR4Sv
The Unforgettable Fire - Remastered 2009,['U2'],4MuVgJIxvnMjRHbiUSD9Js
"Hey, Little Girl",['ICEHOUSE'],5VYB1J9aXyYxjE5Z8kXRgK
Home Again,['Kensington'],3TcK9cPnaE6NiI0Jg925mH
Vienna,['Ultravox'],2LXjhNee4iPRVemx9NSZQ3
Love Like Blood,['Killing Joke'],1zkQJfNo2KpqqCKOOvWPF4
Original Sin,['INXS'],7G67ZJRQT9nn2Fa9vA6B32
The Scientist,['Coldplay'],75JFxkI2RXiU7L9VXzMkle
Lose Yourself,['Eminem'],7MJQ9Nfxzh8LPZ9e9u68Fq
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",['Pink Floyd'],7rPzEczIS574IgPaiPieS3
Angels,['Robbie Williams'],1M2nd8jNUkkwrc1dgBPTJz
One,['U2'],3G69vJMWsX6ZohTykad2AU
The Motto,"['Tiësto', 'Ava Max']",18asYwWugKjjsihZ0YvRxO
Light Switch,['Charlie Puth'],1BSMpVGWs3v5BZKnAQziAc
Anti-Hero,['Taylor Swift'],0V3wPSX9ygBnCm8psDIegu
Humankind,['Coldplay'],23BO6YozrAXUta1buxFZ80
Shivers,['Ed Sheeran'],75MNhvTCCKsST3YqqUiU9r
Cold Heart - PNAU Remix,"['Elton John', 'Dua Lipa', 'PNAU']",6zSpb8dQRaw0M1dK8PBwQz
Overpass Graffiti,['Ed Sheeran'],4btFHqumCO31GksfuBLLv3
What Would You Do?,"['Joel Corry', 'David Guetta', 'Bryson Tiller']",1D2ZNECRd7KIlA4pyOUGsv
Billie Jean,['Michael Jackson'],5ChkMS8OtdzJeqyybCc9R5
Wonderwall,['Oasis'],79RUMZfMNMpqZnswovvTqv
Bed Of Roses,['Bon Jovi'],1zng9uqqXoPkmU05nsAlsw
Three Little Birds,['Bob Marley & The Wailers'],7vggqxNKwd6xdRoYS0pQtM
I Don’t Know Why,['Imagine Dragons'],28heol5hhOGj6KYbJrRteJ
Thriller,['Michael Jackson'],3S2R0EVwBSAVMd5UMgKTL0
Twilight Zone,['Golden Earring'],1miXjv3X34Q9w7wDZoBnDz
Don't You (Forget About Me) - Remastered 2001,['Simple Minds'],2u96akbqgCRtkjfLMYrgZo
Saturday Night,['Herman Brood & His Wild Romance'],0oNwIWGkPR3hKjOU8nO3im
Little Lies,['Fleetwood Mac'],08o75xMKmGrKny6GsXrNJW
One Day Like This,['Elbow'],1OZSVl0JJ1MBzibpuhmmXb
Paradise,['Coldplay'],6nek1Nin9q48AVZcWs9e9D
Start Over,['Imagine Dragons'],2Iug43iQrHN8CbGsUd2tEt
La Grange - 2005 Remaster,['ZZ Top'],70YvYr2hGlS01bKRIho1HM
Run,['Snow Patrol'],6kesIBNAY17BoAz28pnWMC
Empire State Of Mind,"['JAY-Z', 'Alicia Keys']",2igwFfvr1OAGX9SKDCPBwO
L’enfer,['Stromae'],7bp3zmEvpHLa0h32nhDUkB
Cloudbusting,['Kate Bush'],5atQ2haKP5LT65WM0KUts3
bad guy,['Billie Eilish'],2Fxmhks0bxGSBdJ92vM42m
Believer,['Imagine Dragons'],0pqnGHJpmpxLKifKRmU6WP
All Too Well (Taylor's Version),['Taylor Swift'],3nsfB1vus2qaloUdcBZvDu
As It Was,['Harry Styles'],4LRPiXqCikLlN15c3yImP7
Sorry,['Nothing But Thieves'],6rAXHPd18PZ6W8m9EectzH
Sweet Dreams (Are Made of This) - Remastered,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']",1TfqLAPs4K3s2rJMoCokcS
Lullaby,['The Cure'],09OpntwPHuNICsyEt1ETpE
Always,['Bon Jovi'],2RChe0r2cMoyOvuKobZy44
Teardrop,['Massive Attack'],67Hna13dNDkZvBpTXRIaOJ
Castle on the Hill,['Ed Sheeran'],6PCUP3dWmTjcTtXY02oFdT
Watermelon Sugar,['Harry Styles'],6UelLqGlWMcVH1E5c4H7lY
Such a Shame,['Talk Talk'],4BixGe6AcqJU2etTzeh2cN
Shape of You,['Ed Sheeran'],7qiZfU4dY1lWllzX7mPBI3
Follow You Follow Me - Remastered 2007,['Genesis'],0HdcunWW5FsRqKr3lwJOIo
